SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3]
380697,1.0000,0.0004,0.0002,0.0000,-0.0129,0.0049,0.1636
381030,1.0000,0.0007,0.0004,0.0000,-0.0251,0.0095,0.3273
381363,1.0000,0.0007,0.0004,0.0000,-0.0253,0.0095,0.3273
381697,1.0000,0.0007,0.0004,-0.0000,-0.0260,0.0097,0.3280
382030,1.0000,0.0007,0.0004,0.0000,-0.0260,0.0101,0.3271
382363,1.0000,0.0007,0.0003,0.0000,-0.0255,0.0098,0.3272
382697,1.0000,0.0007,0.0003,0.0000,-0.0256,0.0096,0.3277
383030,1.0000,0.0007,0.0003,0.0001,-0.0257,0.0098,0.3274
383363,1.0000,0.0007,0.0003,0.0001,-0.0260,0.0099,0.3273
383697,1.0000,0.0007,0.0004,0.0000,-0.0253,0.0102,0.3271
384030,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0098,0.3273
384363,1.0000,0.0007,0.0004,-0.0000,-0.0256,0.0093,0.3277
384697,1.0000,0.0007,0.0004,0.0000,-0.0257,0.0098,0.3276
385030,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0098,0.3278
385364,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0099,0.3269
385697,1.0000,0.0007,0.0004,0.0001,-0.0258,0.0095,0.3272
386030,1.0000,0.0008,0.0003,0.0001,-0.0257,0.0098,0.3274
386364,1.0000,0.0007,0.0003,0.0001,-0.0258,0.0098,0.3276
386697,1.0000,0.0007,0.0003,0.0001,-0.0253,0.0099,0.3271
387030,1.0000,0.0007,0.0003,0.0000,-0.0252,0.0095,0.3273
387364,1.0000,0.0007,0.0004,0.0000,-0.0254,0.0095,0.3280
387697,1.0000,0.0007,0.0004,-0.0000,-0.0256,0.0099,0.3268
388030,1.0000,0.0007,0.0004,0.0000,-0.0254,0.0098,0.3274
388364,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0097,0.3272
388697,1.0000,0.0007,0.0003,0.0000,-0.0254,0.0091,0.3279
389030,1.0000,0.0008,0.0003,0.0001,-0.0257,0.0092,0.3269
389364,1.0000,0.0008,0.0003,0.0001,-0.0257,0.0096,0.3276
389697,1.0000,0.0007,0.0003,0.0001,-0.0258,0.0100,0.3277
390030,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0098,0.3273
390364,1.0000,0.0007,0.0004,-0.0000,-0.0255,0.0093,0.3282
390697,1.0000,0.0007,0.0004,-0.0001,-0.0254,0.0099,0.3275
391030,1.0000,0.0007,0.0004,-0.0000,-0.0261,0.0098,0.3271
391364,1.0000,0.0007,0.0004,0.0000,-0.0252,0.0100,0.3275
391697,1.0000,0.0007,0.0003,0.0000,-0.0254,0.0094,0.3275
392030,1.0000,0.0008,0.0003,0.0001,-0.0255,0.0093,0.3273
392364,1.0000,0.0008,0.0003,0.0001,-0.0256,0.0094,0.3271
392697,1.0000,0.0007,0.0003,0.0001,-0.0253,0.0099,0.3271
393030,1.0000,0.0007,0.0004,0.0000,-0.0254,0.0099,0.3274
393364,1.0000,0.0007,0.0004,-0.0000,-0.0255,0.0095,0.3270
393697,1.0000,0.0007,0.0004,-0.0000,-0.0252,0.0096,0.3271
394030,1.0000,0.0007,0.0004,-0.0000,-0.0258,0.0098,0.3277
394364,1.0000,0.0007,0.0004,0.0000,-0.0257,0.0097,0.3275
394697,1.0000,0.0008,0.0003,0.0001,-0.0254,0.0098,0.3273
395030,1.0000,0.0008,0.0003,0.0001,-0.0254,0.0096,0.3272
395364,1.0000,0.0008,0.0003,0.0001,-0.0258,0.0097,0.3280
395697,1.0000,0.0007,0.0004,0.0001,-0.0255,0.0101,0.3273
396030,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0099,0.3272
396364,1.0000,0.0007,0.0004,-0.0000,-0.0256,0.0095,0.3275
396697,1.0000,0.0007,0.0004,-0.0000,-0.0251,0.0096,0.3273
397030,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0097,0.3279
397364,1.0000,0.0007,0.0003,0.0000,-0.0256,0.0098,0.3275
397697,1.0000,0.0007,0.0004,0.0000,-0.0258,0.0096,0.3276
398030,1.0000,0.0007,0.0004,0.0000,-0.0253,0.0091,0.3275
398364,1.0000,0.0007,0.0004,0.0000,-0.0251,0.0095,0.3270
398697,1.0000,0.0007,0.0004,0.0000,-0.0253,0.0096,0.3275
399030,1.0000,0.0007,0.0004,0.0000,-0.0262,0.0101,0.3275
399364,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0098,0.3275
399697,1.0000,0.0007,0.0004,0.0000,-0.0250,0.0095,0.3280
400030,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0098,0.3275
400364,1.0000,0.0007,0.0004,0.0000,-0.0256,0.0102,0.3282
400697,1.0000,0.0007,0.0003,0.0000,-0.0256,0.0094,0.3273
401030,1.0000,0.0007,0.0003,0.0001,-0.0255,0.0094,0.3275
401364,1.0000,0.0007,0.0003,0.0000,-0.0257,0.0096,0.3273
401697,1.0000,0.0008,0.0003,0.0001,-0.0257,0.0101,0.3275
402031,1.0000,0.0007,0.0004,0.0000,-0.0253,0.0099,0.3274
402364,1.0000,0.0007,0.0004,0.0000,-0.0255,0.0094,0.3271
402697,1.0000,0.0007,0.0004,0.0000,-0.0252,0.0097,0.3273
